title,description,required_skills,category,experience_level,salary_range
Software Engineer,"Design, develop, and maintain software applications. Write clean, scalable code using modern programming practices. Collaborate with cross-functional teams to define and ship new features.","Python,Java,JavaScript,SQL,Git,Data Structures,Algorithms,REST APIs,Agile",Engineering,Entry-Mid,"$70,000-$120,000"
Frontend Developer,"Build responsive and interactive web applications using modern frontend frameworks. Optimize applications for maximum speed and scalability. Collaborate with UI/UX designers.","HTML,CSS,JavaScript,React,TypeScript,Redux,Webpack,Responsive Design,Git",Engineering,Entry-Mid,"$65,000-$110,000"
Backend Developer,"Design and implement server-side logic, APIs, and database schemas. Ensure high performance and responsiveness of applications. Integrate frontend elements with server-side logic.","Python,Java,Node.js,SQL,PostgreSQL,MongoDB,REST APIs,Docker,Microservices,Git",Engineering,Mid-Senior,"$80,000-$140,000"
Full Stack Developer,"Develop both client-side and server-side applications. Design and manage databases, build APIs, and create user-facing features. Handle deployment and DevOps tasks.","JavaScript,React,Node.js,Python,SQL,MongoDB,Docker,AWS,Git,HTML,CSS",Engineering,Mid,"$75,000-$130,000"
Data Scientist,"Analyze large datasets to extract actionable insights. Build predictive models using machine learning algorithms. Communicate findings to stakeholders through visualizations.","Python,R,SQL,Machine Learning,TensorFlow,Pandas,NumPy,Statistics,Data Visualization,Scikit-learn",Data Science,Mid-Senior,"$90,000-$150,000"
Machine Learning Engineer,"Design and deploy machine learning models at scale. Optimize model performance and integrate ML pipelines into production systems. Research and implement new ML techniques.","Python,TensorFlow,PyTorch,Scikit-learn,Deep Learning,NLP,Computer Vision,Docker,AWS,MLOps",Data Science,Senior,"$100,000-$170,000"
Data Analyst,"Collect, process, and analyze data to support business decisions. Create dashboards and reports. Identify trends and patterns in complex datasets.","SQL,Excel,Python,Tableau,Power BI,Statistics,Data Visualization,Pandas,ETL",Data Science,Entry-Mid,"$55,000-$90,000"
DevOps Engineer,"Implement and manage CI/CD pipelines. Automate infrastructure provisioning and deployment. Monitor system performance and ensure high availability.","Docker,Kubernetes,AWS,Azure,Jenkins,Terraform,Linux,Bash,Python,CI/CD,Ansible",Engineering,Mid-Senior,"$85,000-$145,000"
Cloud Architect,"Design and implement cloud infrastructure solutions. Optimize cloud costs and performance. Lead cloud migration projects and ensure security compliance.","AWS,Azure,GCP,Terraform,Docker,Kubernetes,Networking,Security,Python,Microservices",Engineering,Senior,"$120,000-$180,000"
Cybersecurity Analyst,"Monitor and protect systems against cyber threats. Conduct vulnerability assessments and penetration testing. Develop security policies and incident response plans.","Network Security,Penetration Testing,SIEM,Firewalls,Linux,Python,Incident Response,Compliance,Cryptography",Security,Mid,"$75,000-$120,000"
Mobile App Developer,"Design and build mobile applications for iOS and Android. Optimize applications for performance and responsiveness. Collaborate with backend teams for API integration.","Swift,Kotlin,React Native,Flutter,Java,Firebase,REST APIs,Git,UI/UX,Mobile Development",Engineering,Mid,"$70,000-$125,000"
UI/UX Designer,"Create user-centered designs for web and mobile applications. Conduct user research and usability testing. Design wireframes, prototypes, and high-fidelity mockups.","Figma,Adobe XD,Sketch,User Research,Wireframing,Prototyping,HTML,CSS,Design Thinking,Usability Testing",Design,Entry-Mid,"$60,000-$100,000"
Product Manager,"Define product strategy and roadmap. Gather and prioritize product requirements. Work closely with engineering, design, and marketing teams to deliver features.","Product Strategy,Agile,Scrum,Data Analysis,User Research,Roadmapping,JIRA,Communication,Leadership,SQL",Management,Mid-Senior,"$90,000-$150,000"
