title,company,location,description,required_skills,category,experience_level,salary_range,posted_date
Software Engineer,Google,Mountain View,Design and develop scalable software applications for millions of users. Collaborate on high-performance indexing and retrieval systems.,"Python,Java,C++,Go,Distributed Systems,Algorithms,SQL,Git,Agile",Engineering,Entry-Mid,"$140,000-$220,000",2 days ago
Frontend Engineer,Meta,Menlo Park,Build highly interactive and responsive user interfaces for global social platforms. Optimize performance across mobile and web.,"React,JavaScript,TypeScript,Redux,HTML5,CSS3,GraphQL,Testing,Webpack",Engineering,Mid-Senior,"$135,000-$210,000",1 day ago
Backend Developer,Netflix,Los Gatos,Architect and build robust server-side systems for high-traffic streaming services. Focus on resiliency and microservices.,"Java,Spring Boot,Node.js,PostgreSQL,Cassandra,Docker,Kubernetes,AWS,Microservices",Engineering,Senior,"$160,000-$250,000",3 days ago
Full Stack Developer,Airbnb,San Francisco,End-to-end development of travel and hospitality features. Lead cross-functional projects across web and mobile.,"React,Ruby on Rails,TypeScript,Node.js,SQL,AWS,Redis,Git,CI/CD",Engineering,Mid-Senior,"$145,000-$215,000",Today
Data Scientist,Amazon,Seattle,Apply advanced statistical and machine learning models to solve complex logistics and customer demand problems.,"Python,R,SQL,Machine Learning,Statistics,Pandas,NumPy,AWS,Data Visualization,TensorFlow",Data Science,Mid-Senior,"$130,000-$195,000",4 days ago
Machine Learning Engineer,Tesla,Palo Alto,Develop neural networks for autonomous driving and energy optimization. Implement real-time CV models.,"PyTorch,TensorFlow,Computer Vision,Deep Learning,C++,Python,CUDA,Linear Algebra,MLOps",Data Science,Mid-Senior,"$150,000-$240,000",1 week ago
Data Analyst,Spotify,New York,Analyze usage patterns and music trends to drive product strategy and personalized recommendations.,"SQL,Tableau,Python,Statistics,BigQuery,Excel,Data Storytelling,A/B Testing,ETL",Data Science,Entry-Mid,"$95,000-$145,000",2 days ago
DevOps Engineer,Microsoft,Redmond,Scale cloud infrastructure and automate delivery pipelines for enterprise cloud services. Ensure high availability.,"Azure,Terraform,Docker,Kubernetes,Jenkins,PowerShell,Bash,Networking,Security",Engineering,Mid-Senior,"$125,000-$190,000",5 days ago
Cloud Architect,Oracle,Austin,Design massive-scale cloud infrastructure for database and ERP platforms. Optimize performance and hybrid cloud security.,"OCI,Java,Linux,Terraform,Networking,Oracle Database,Kubernetes,API Design,Python",Engineering,Senior,"$165,000-$260,000",Today
Cybersecurity Analyst,CrowdStrike,Remote,Monitor and respond to global threat actors. Perform advanced forensics and vulnerability research on endpoint data.,"Incident Response,SIEM,Forensics,Python,Network Security,Threat Hunting,Malware Analysis,AWS",Security,Mid-Senior,"$115,000-$180,000",3 days ago
Mobile Developer,Uber,San Francisco,Develop high-performance mobile applications for millions of riders and drivers world-wide. Focus on real-time mapping.,"Swift,Kotlin,Reactive Programming,REST APIs,UI/UX,Unit Testing,Mobile Design,Git",Engineering,Mid-Senior,"$140,000-$210,000",6 days ago
UI/UX Designer,Adobe,San Jose,Design the future of creative tools. Conduct user research and create stunning, intuitive interfaces for creative professionals.,"Figma,Adobe Creative Suite,Prototyping,User Research,Motion Design,Visual Design,Design Systems",Design,Mid-Senior,"$110,000-$175,000",4 days ago
Product Manager,Salesforce,San Francisco,Own the roadmap for enterprise CRM features. Bridge the gap between engineering and business stakeholders.,"Product Strategy,Agile,SQL,Communication,Roadmapping,JIRA,Market Analysis,Leadership",Management,Mid-Senior,"$130,000-$205,000",1 day ago
Database Administrator,IBM,Armonk,Manage critical enterprise database systems. Ensure 99.999% uptime and implement disaster recovery at scale.,"DB2,PostgreSQL,SQL,Performance Tuning,Disaster Recovery,Linux,Python,Monitoring,Shell Scripting",Engineering,Mid-Senior,"$105,000-$165,000",2 weeks ago
QA Engineer,Apple,Cupertino,Ensure the quality and stability of macOS and iOS platforms through automated and manual testing frameworks.,"Python,Swift,XCTest,Selenium,Test Automation,Jenkins,CI/CD,Performance Testing,JIRA",Engineering,Entry-Mid,"$115,000-$185,000",3 days ago
Business Analyst,PwC,Chicago,Translate business requirements into technical specifications for large-scale digital transformation projects.,"Requirements Gathering,SQL,Tableau,Excel,Communication,Agile,Process Modeling,Documentation",Business,Mid,"$90,000-$145,000",5 days ago
AI Research Scientist,OpenAI,San Francisco,Conduct research in large language models and reinforcement learning. Explore novel architectures for AGI.,"Deep Learning,Transformers,PyTorch,Mathematics,Research,Reinforcement Learning,NLP,Python",Research,Senior,"$250,000-$450,000",Today
Blockchain Engineer,Coinbase,Remote,Build secure and scalable protocol layers for cryptocurrency exchange and decentralized finance apps.,"Solidity,Go,Rust,Smart Contracts,Web3.js,Ethereum,Cryptography,Security,Distributed Systems",Engineering,Mid-Senior,"$150,000-$230,000",1 week ago
Game Developer,Epic Games,Cary,Develop core engine features and gameplay systems for world-class interactive experiences.,"C++,Unreal Engine,Graphics Programming,Math,Physics,Shader Development,Optimization,Git",Engineering,Mid-Senior,"$110,000-$190,000",4 days ago
Systems Administrator,Dropbox,Seattle,Manage internal server clusters and storage infrastructure. Automate management of Linux environments at scale.,"Linux,Python,Ansible,Puppet,Networking,Storage,Monitoring,VMware,Security",IT,Mid,"$95,000-$155,000",1 week ago
Technical Writer,GitHub,Remote,Create comprehensive documentation for developer tools and APIs used by millions of developers globally.,"Markdown,Technical Writing,Git,API Documentation,Docusaurus,Communication,Content Strategy",Content,Mid,"$90,000-$140,000",2 days ago
Site Reliability Engineer,Google,Zurich,Apply software engineering principles to operations tasks. Build tools to automate and improve reliability.,"Python,Go,Googlers,Kubernetes,Distributed Systems,Monitoring,Troubleshooting,Linux",Engineering,Mid-Senior,"$155,000-$245,000",3 days ago
Data Engineer,Snowflake,Bozeman,Design and implement massively parallel data processing pipelines for cloud data platforms.,"SQL,Java,Python,Distributed Systems,Data Warehousing,Spark,Kafka,ETL",Data Science,Mid-Senior,"$145,000-$225,000",5 days ago
NLP Engineer,Anthropic,San Francisco,Train and optimize large-scale language models for safety and reliability. Implement advanced NLP techniques.,"Python,PyTorch,NLP,Transformers,Deep Learning,RLHF,MLOps,Linear Algebra",Data Science,Mid-Senior,"$180,000-$280,000",2 days ago
Computer Vision Engineer,Verkada,San Mateo,Build edge-based computer vision systems for smart security and facilities management.,"C++,Python,OpenCV,TensorFlow,PyTorch,Deep Learning,CUDA,Image Processing",Data Science,Mid-Senior,"$135,000-$210,000",1 week ago
Embedded Software Engineer,NVIDIA,Santa Clara,Develop low-level drivers and firmware for next-generation GPU and AI hardware.,"C,C++,Embedded Systems,RTOS,Firmware,Device Drivers,Operating Systems,Linux Kernel",Engineering,Mid-Senior,"$145,000-$230,000",4 days ago
Network Engineer,Cloudflare,San Francisco,Optimize and secure the global network that powers a significant portion of the internet.,"Networking,BGP,TCP/IP,Go,Rust,Linux,Firewalls,Network Security,Automation",IT,Mid-Senior,"$130,000-$200,000",2 days ago
Scrum Master,Atlassian,Remote,Coach high-performing engineering teams in Agile methodologies and remove blockers for SaaS product development.,"Agile,Scrum,Coaching,Kanban,Leadership,Communication,Facilitation,JIRA",Management,Mid,"$110,000-$165,000",1 week ago
IT Consultant,Deloitte,New York,Advise Fortune 500 clients on technology strategy, cloud migration, and enterprise architecture.,"Cloud Computing,Strategy,ERP,Project Management,Communication,Leadership,Business Analysis",IT,Mid-Senior,"$100,000-$160,000",5 days ago
